City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Khatanga,96,RU,1583029241,94,71.97,102.5,256.01,6.0
85,Ankpa,34,NG,1583029242,86,7.37,7.63,297.29,4.07
86,Turriff,100,GB,1583029242,93,57.54,-2.46,277.59,7.2
87,Kahului,40,US,1583028962,69,20.89,-156.47,296.15,7.7
88,Lavrentiya,0,RU,1583029242,85,65.58,-171.0,254.2,3.74
89,Upernavik,87,GL,1583029243,89,72.79,-56.15,242.44,1.7
90,Mataura,41,NZ,1583029243,48,-46.19,168.86,294.33,2.94
91,Lebu,0,CL,1583029243,89,-37.62,-73.65,284.48,1.12
92,Makkah al Mukarramah,0,SA,1583028982,67,21.43,39.83,293.3,0.86
93,Mulegé,100,MX,1583029243,40,26.88,-111.98,292.62,0.78
94,Iqaluit,40,CA,1583029115,75,63.75,-68.51,246.48,2.1
95,Shimoda,75,JP,1583029244,62,34.67,138.95,286.15,5.7
96,Funadhoo,39,MV,1583029244,75,6.15,73.27,300.93,4.61
97,Puerto Rondón,90,CO,1583029244,48,6.28,-71.1,301.01,2.28
98,Dolores Hidalgo Cuna de la Independencia Nacional,5,MX,1583029244,35,21.16,-100.93,295.15,2.1
99,Bredasdorp,14,ZA,1583029244,87,-34.53,20.04,289.15,4.1
100,Tuktoyaktuk,20,CA,1583029245,74,69.45,-133.04,242.15,4.1
101,Port Alfred,0,ZA,1583029245,92,-33.59,26.89,289.82,5.66
102,Margate,34,GB,1583029245,75,51.38,1.39,278.71,9.3
103,Saint-François,98,FR,1583029245,61,46.42,3.91,281.15,2.1
104,Taiping,40,MY,1583029245,74,4.85,100.73,301.15,3.1
105,Nemuro,75,JP,1583029245,73,43.32,145.57,269.15,2.1
106,Bud,1,US,1583029246,54,39.45,-86.18,273.15,2.6
107,Mareeba,85,AU,1583029246,55,-17.0,145.43,307.04,4.6
108,Amga,7,RU,1583029246,86,60.9,131.96,259.06,1.48
109,Petrokamenskoye,100,RU,1583029246,93,57.72,60.65,269.41,3.13
110,Kualakapuas,100,ID,1583029246,60,-3.01,114.39,305.24,1.53
111,Hilo,20,US,1583029246,54,19.73,-155.09,299.15,6.2
112,Harper,31,LR,1583029247,94,4.38,-7.72,298.51,1.45
113,Lagoa,100,PT,1583029247,84,39.05,-27.98,289.73,12.14
114,Torres,0,BR,1583029118,74,-29.34,-49.73,296.31,3.86
115,Seydi,0,TM,1583029247,72,39.48,62.91,281.64,1.18
116,Mar del Plata,0,AR,1583029247,100,-38.0,-57.56,293.15,1.0
117,Lompoc,90,US,1583029247,76,34.64,-120.46,287.04,4.1
118,Touros,75,BR,1583029248,94,-5.2,-35.46,298.15,1.5
119,Loutrós,87,GR,1583029248,74,40.59,22.4,280.93,2.6
120,Avera,1,US,1583029248,56,33.19,-82.53,281.48,3.09
121,Micheweni,100,TZ,1583029248,71,-4.97,39.83,302.68,0.98
122,Torbay,5,CA,1583029248,73,47.67,-52.73,268.15,4.6
123,Olafsvik,100,IS,1583029249,60,64.89,-23.71,274.3,6.5
124,Butaritari,100,KI,1583029249,81,3.07,172.79,301.2,8.59
125,Āsosa,41,ET,1583029249,11,10.07,34.53,294.26,2.77
126,Puerto Ayora,22,EC,1583029249,86,-0.74,-90.35,299.01,3.03
127,Haines Junction,100,CA,1583029249,97,60.75,-137.51,261.7,4.43
128,Tasiilaq,100,GL,1583029249,72,65.61,-37.64,264.15,1.0
129,Yaan,14,NG,1583029250,82,7.38,8.57,298.84,3.0
130,Poum,85,NC,1583029250,82,-20.23,164.02,301.63,6.68
131,Tevaitoa,100,PF,1583029250,82,-16.78,-151.5,300.72,12.11
132,Yulara,100,AU,1583029250,30,-25.24,130.99,308.15,7.7
133,Sept-Îles,75,CA,1583029251,92,50.2,-66.38,262.15,2.1
134,Al Bardīyah,6,LY,1583029251,70,31.76,25.09,286.76,4.98
135,Saldanha,0,ZA,1583029251,36,-33.01,17.94,297.15,1.5
136,Saint Paul Harbor,90,US,1583029251,97,57.79,-152.41,274.15,2.1
137,Ciudad Bolivar,1,VE,1583029251,68,8.12,-63.55,298.79,5.71
138,North Myrtle Beach,1,US,1583029251,48,33.82,-78.68,279.15,1.5
139,Huilong,95,CN,1583029252,91,31.81,121.66,284.26,5.65
140,Yopal,85,CO,1583029252,69,5.34,-72.4,293.05,1.86
141,Santa Cruz de la Sierra,0,BO,1583029252,51,-17.8,-63.17,301.15,4.6
142,Kavieng,75,PG,1583029252,69,-2.57,150.8,302.53,1.32
143,Progress,90,US,1583029252,46,40.29,-76.83,272.59,5.1
144,Mayo,1,US,1583029252,51,38.89,-76.51,274.82,5.1
145,Dingle,88,PH,1583029252,64,11.0,122.67,301.5,5.01
146,Reconquista,0,AR,1583029253,40,-29.15,-59.65,295.28,3.05
147,Arraial do Cabo,89,BR,1583029253,87,-22.97,-42.03,297.78,6.96
148,Ténenkou,0,ML,1583029253,7,14.46,-4.92,293.99,3.99
149,Guerrero Negro,95,MX,1583029253,51,27.98,-114.06,290.68,5.07
150,Poronaysk,25,RU,1583029253,85,49.22,143.12,264.17,1.62
151,Barrow,1,US,1583029254,83,71.29,-156.79,249.15,3.1
152,Kawalu,89,ID,1583029254,71,-7.38,108.21,301.17,1.58
153,Zyryanka,0,RU,1583029254,78,65.75,150.85,263.37,6.15
154,Yuncheng,0,CN,1583029254,21,35.02,110.99,284.4,5.19
155,Klyuchi,100,RU,1583029254,86,52.27,79.17,267.79,3.87
156,Springbok,5,ZA,1583029254,37,-29.66,17.89,292.84,1.22
157,Dicabisagan,80,PH,1583029255,74,17.08,122.42,299.01,4.36
158,Lucea,75,JM,1583029255,78,18.45,-78.17,299.15,7.2
159,Alice Springs,100,AU,1583029255,12,-23.7,133.88,308.15,6.7
160,Kirakira,35,SB,1583029255,70,-10.45,161.92,302.7,2.38
161,Hualmay,100,PE,1583029255,80,-11.1,-77.61,295.27,1.75
162,Tilichiki,0,RU,1583029256,83,60.47,166.1,256.84,4.3
163,Lata,75,PT,1583028958,82,40.16,-8.33,286.15,4.1
164,Salalah,40,OM,1583029256,43,17.02,54.09,295.15,2.6
165,Patos de Minas,100,BR,1583029256,97,-18.58,-46.52,291.18,0.57
166,Talnakh,98,RU,1583029256,77,69.49,88.4,258.15,7.0
167,Chicama,90,PE,1583029256,78,-7.84,-79.15,297.15,5.7
168,Rocha,0,UY,1583029257,97,-34.48,-54.33,289.64,2.81
169,Bridlington,0,GB,1583029257,75,54.08,-0.19,279.26,10.3
170,Severo-Kuril'sk,97,RU,1583029257,80,50.68,156.12,269.41,1.26
171,Sarangani,14,PH,1583029257,76,5.4,125.46,301.03,11.35
172,Ahipara,100,NZ,1583029257,70,-35.17,173.17,302.59,0.45
173,Santiago,0,CL,1583028585,64,-33.46,-70.65,293.15,6.7
174,Ishigaki,75,JP,1583029258,83,24.34,124.16,298.15,7.2
175,Lüderitz,13,NA,1583029258,93,-26.65,15.16,291.15,3.6
176,Halifax,90,CA,1583029258,100,44.65,-63.57,272.04,3.6
177,Machilipatnam,40,IN,1583029258,88,16.17,81.13,296.15,2.92
178,Senneterre,90,CA,1583029258,84,48.38,-77.23,259.15,1.0
179,Alegrete,0,BR,1583029258,39,-29.78,-55.79,294.93,3.04
180,Chui,0,UY,1583029258,86,-33.7,-53.46,292.58,2.77
181,Portland,90,US,1583029218,81,45.52,-122.68,279.26,1.5
182,Yoichi,75,JP,1583029259,92,43.2,140.77,273.15,1.5
183,Aklavik,20,CA,1583029203,69,68.22,-135.01,248.15,2.1
184,Vestmannaeyjar,100,IS,1583029259,71,63.44,-20.27,276.8,9.67
185,Comé,20,BJ,1583029259,89,6.41,1.88,302.15,4.6
186,Sochi,90,RU,1583029259,81,43.6,39.73,280.15,3.0
187,Sitka,90,US,1583029260,74,57.05,-135.33,276.15,2.6
188,Distrikt Brokopondo,32,SR,1583029260,85,4.75,-55.17,296.35,3.21
189,Pevek,100,RU,1583029260,96,69.7,170.31,255.1,2.0
190,Laguna,1,US,1583029056,54,38.42,-121.42,288.71,5.1
191,Olot,90,ES,1583029260,54,42.18,2.49,286.48,2.1
192,Naze,75,JP,1583029260,88,28.37,129.48,294.15,5.1
193,Mizdah,11,LY,1583029261,45,31.45,12.98,284.82,1.91
194,Inverell,76,AU,1583029261,47,-29.78,151.12,303.15,1.34
195,Sucúa,100,EC,1583029261,97,-2.47,-78.17,291.09,0.79
196,Los Llanos de Aridane,75,ES,1583029261,82,28.66,-17.92,291.15,4.6
197,Stans,75,CH,1583029261,81,46.96,8.37,279.26,1.5
198,São Filipe,28,CV,1583029262,62,14.9,-24.5,295.28,9.97
199,Erdenet,100,MN,1583029262,82,49.03,104.08,263.28,1.96
200,Erzin,75,TR,1583029262,100,36.96,36.2,283.15,1.0
201,Dergachi,100,RU,1583029262,87,51.23,48.77,272.48,2.33
202,Yatou,94,CN,1583029262,74,37.15,122.38,279.37,4.23
203,Kumul,0,CN,1583029262,27,42.8,93.45,277.93,1.14
204,Pochutla,75,MX,1583029263,88,15.74,-96.47,301.15,2.6
205,Plettenberg Bay,0,ZA,1583029263,79,-34.05,23.37,290.8,0.71
206,Ajdabiya,0,LY,1583029263,62,30.76,20.23,287.51,3.46
207,Hobart,75,AU,1583029131,45,-42.88,147.33,293.71,2.6
208,Narsaq,0,GL,1583029263,35,60.92,-46.05,259.15,2.1
209,Tual,100,ID,1583029263,73,-5.67,132.75,302.63,2.44
210,Bullhead City,1,US,1583029263,14,35.15,-114.57,295.15,6.7
211,Thinadhoo,36,MV,1583029264,77,0.53,72.93,301.13,5.91
212,Nabire,100,ID,1583029264,58,-3.37,135.48,305.23,2.83
213,Provideniya,0,RU,1583029264,75,64.38,-173.3,255.62,6.35
214,Black Diamond,90,US,1583028993,75,47.31,-122.0,280.93,2.06
215,Bafia,99,CM,1583029264,92,4.75,11.23,296.2,1.44
216,Luganville,75,VU,1583029264,74,-15.53,167.17,304.15,3.6
217,Puerto Baquerizo Moreno,21,EC,1583029265,83,-0.9,-89.6,300.06,4.31
218,Mahébourg,40,MU,1583029265,94,-20.41,57.7,298.15,1.55
219,Bandar-e Lengeh,0,IR,1583029265,77,26.56,54.88,291.15,2.1
220,Mehndāwal,0,IN,1583029265,53,26.98,83.11,294.62,1.28
221,Guarapari,75,BR,1583029265,94,-20.67,-40.5,298.15,1.5
222,Mosquera,85,CO,1583029265,93,4.71,-74.23,285.15,1.0
223,Sabzawār,0,IR,1583029266,55,36.21,57.68,281.13,1.46
224,Lubango,90,AO,1583029266,49,-14.92,13.49,286.58,2.92
225,La Ronge,90,CA,1583029266,79,55.1,-105.28,270.15,6.2
226,Hong Kong,40,HK,1583029018,88,22.29,114.16,299.26,3.1
227,Abu Kamal,0,SY,1583029266,64,34.45,40.92,285.37,4.61
228,Cabo San Lucas,20,MX,1583029229,68,22.89,-109.91,294.15,2.34
229,Buala,73,SB,1583029267,72,-8.14,159.59,302.33,2.61
230,Alpena,1,US,1583029267,57,45.06,-83.43,269.15,2.22
231,Adrar,0,MR,1583029267,15,20.5,-10.07,293.02,4.06
232,Koumac,41,NC,1583029267,56,-20.57,164.28,304.19,1.07
233,Nanortalik,0,GL,1583029267,64,60.14,-45.24,263.13,5.85
234,Ankazoabo,36,MG,1583029268,90,-22.28,44.52,291.34,3.49
235,Stornoway,100,GB,1583029121,93,58.21,-6.39,275.37,2.6
236,Port Blair,1,IN,1583029268,75,11.67,92.75,300.22,5.26
237,Ixtapa,5,MX,1583029268,88,20.7,-105.2,297.15,2.6
238,Arinos,100,BR,1583029268,98,-15.92,-46.11,294.92,0.52
